"region","crop","year","yield_hg_ha","yield_t_ha","rainfall_mm","avg_temp_c","pesticide_t"
"Algeria","Maize",1997,"21417","214.17","89","17.84","401.22"
"Algeria","Maize",1998,"17222","172.22","89","17.14","322.84"
"Algeria","Maize",1999,"22375","223.75","89","17.97","654.45"
"Algeria","Maize",2000,"36186","361.86","89","17.9","603.67"
"Algeria","Maize",2001,"27175","271.75","89","18.13","710.11"
"Algeria","Maize",2002,"33480","334.8","89","17.85","816.55"
"Algeria","Maize",2004,"31729","317.29","89","17.38","3747.86"
"Algeria","Maize",2005,"33864","338.64","89","17.19","3662.87"
"Algeria","Maize",2006,"65668","656.68","89","18.13","4110.72"
"Algeria","Maize",2007,"85625","856.25","89","17.42","5390.79"
"Algeria","Maize",2008,"44714","447.14","89","17.55","11556.12"
"Algeria","Maize",2009,"30914","309.14","89","17.78","3867.99"
"Algeria","Maize",2010,"25827","258.27","89","17.59","1295.88"
"Algeria","Maize",2011,"23374","233.74","89","17.79","13861.76"
"Algeria","Maize",2012,"25583","255.83","89","17.91","17379.76"
"Algeria","Maize",2013,"33649","336.49","89","17.65","17278.65"
"Algeria","Potatoes",1990,"78936","789.36","89","17.48","1828.92"
"Algeria","Potatoes",1991,"90747","907.47","89","16.26","2461.8"
"Algeria","Potatoes",1992,"107917","1079.17","89","16.27","1215.47"
"Algeria","Potatoes",1993,"111215","1112.15","89","17","1021.89"
"Algeria","Potatoes",1994,"95078","950.78","89","17.88","1255.02"
"Algeria","Potatoes",1995,"136768","1367.68","89","17.36","2697.09"
"Algeria","Potatoes",1996,"134629","1346.29","89","16.76","479.77"
"Algeria","Potatoes",1997,"141042","1410.42","89","17.84","401.22"
"Algeria","Potatoes",1998,"160256","1602.56","89","17.14","322.84"
"Algeria","Potatoes",1999,"153532","1535.32","89","17.97","654.45"
"Algeria","Potatoes",2000,"166143","1661.43","89","17.9","603.67"
"Algeria","Potatoes",2001,"147018","1470.18","89","18.13","710.11"
"Algeria","Potatoes",2002,"183774","1837.74","89","17.85","816.55"
"Algeria","Potatoes",2004,"203585","2035.85","89","17.38","3747.86"
"Algeria","Potatoes",2005,"216267","2162.67","89","17.19","3662.87"
"Algeria","Potatoes",2006,"220689","2206.89","89","18.13","4110.72"
"Algeria","Potatoes",2007,"189927","1899.27","89","17.42","5390.79"
"Algeria","Potatoes",2008,"236393","2363.93","89","17.55","11556.12"
"Algeria","Potatoes",2009,"250764","2507.64","89","17.78","3867.99"
"Algeria","Potatoes",2010,"270526","2705.26","89","17.59","1295.88"
"Algeria","Potatoes",2011,"292806","2928.06","89","17.79","13861.76"
"Algeria","Potatoes",2012,"304291","3042.91","89","17.91","17379.76"
"Algeria","Potatoes",2013,"303218","3032.18","89","17.65","17278.65"
"Algeria","Rice, paddy",1990,"28000","280","89","17.48","1828.92"
"Algeria","Rice, paddy",1991,"26786","267.86","89","16.26","2461.8"
"Algeria","Rice, paddy",1992,"24733","247.33","89","16.27","1215.47"
"Algeria","Rice, paddy",1993,"23111","231.11","89","17","1021.89"
"Algeria","Rice, paddy",1994,"21374","213.74","89","17.88","1255.02"
"Algeria","Rice, paddy",1995,"19598","195.98","89","17.36","2697.09"
"Algeria","Rice, paddy",1996,"17861","178.61","89","16.76","479.77"
"Algeria","Rice, paddy",1997,"15000","150","89","17.84","401.22"
"Algeria","Rice, paddy",1998,"15000","150","89","17.14","322.84"
"Algeria","Rice, paddy",1999,"13942","139.42","89","17.97","654.45"
"Algeria","Rice, paddy",2000,"13052","130.52","89","17.9","603.67"
"Algeria","Rice, paddy",2001,"12314","123.14","89","18.13","710.11"
"Algeria","Rice, paddy",2002,"12959","129.59","89","17.85","816.55"
"Algeria","Rice, paddy",2004,"12829","128.29","89","17.38","3747.86"
"Algeria","Rice, paddy",2005,"12998","129.98","89","17.19","3662.87"
"Algeria","Rice, paddy",2006,"12769","127.69","89","18.13","4110.72"
"Algeria","Rice, paddy",2007,"13375","133.75","89","17.42","5390.79"
"Algeria","Rice, paddy",2008,"13952","139.52","89","17.55","11556.12"
"Algeria","Rice, paddy",2009,"14594","145.94","89","17.78","3867.99"
"Algeria","Rice, paddy",2010,"15305","153.05","89","17.59","1295.88"
"Algeria","Rice, paddy",2011,"16081","160.81","89","17.79","13861.76"
"Algeria","Rice, paddy",2012,"16667","166.67","89","17.91","17379.76"
"Algeria","Rice, paddy",2013,"17778","177.78","89","17.65","17278.65"
"Algeria","Sorghum",1990,"16571","165.71","89","17.48","1828.92"
"Algeria","Sorghum",1991,"24231","242.31","89","16.26","2461.8"
"Algeria","Sorghum",1992,"40000","400","89","16.27","1215.47"
"Algeria","Sorghum",1993,"50000","500","89","17","1021.89"
"Algeria","Sorghum",1995,"12667","126.67","89","17.36","2697.09"
"Algeria","Sorghum",1996,"14750","147.5","89","16.76","479.77"
"Algeria","Sorghum",1997,"40000","400","89","17.84","401.22"
"Algeria","Sorghum",1998,"24500","245","89","17.14","322.84"
"Algeria","Sorghum",1999,"27000","270","89","17.97","654.45"
"Algeria","Sorghum",2000,"69500","695","89","17.9","603.67"
"Algeria","Sorghum",2001,"27750","277.5","89","18.13","710.11"
"Algeria","Sorghum",2002,"33900","339","89","17.85","816.55"
"Algeria","Sorghum",2004,"43316","433.16","89","17.38","3747.86"
"Algeria","Sorghum",2005,"33486","334.86","89","17.19","3662.87"
"Algeria","Sorghum",2006,"56728","567.28","89","18.13","4110.72"
"Algeria","Sorghum",2007,"119059","1190.59","89","17.42","5390.79"
"Algeria","Sorghum",2008,"61786","617.86","89","17.55","11556.12"
"Algeria","Sorghum",2009,"90465","904.65","89","17.78","3867.99"
"Algeria","Sorghum",2010,"30286","302.86","89","17.59","1295.88"
"Algeria","Sorghum",2011,"100000","1000","89","17.79","13861.76"
"Algeria","Sorghum",2012,"206000","2060","89","17.91","17379.76"
"Algeria","Sorghum",2013,"60000","600","89","17.65","17278.65"
"Algeria","Wheat",1990,"6315","63.15","89","17.48","1828.92"
"Algeria","Wheat",1991,"10809","108.09","89","16.26","2461.8"
"Algeria","Wheat",1992,"9939","99.39","89","16.27","1215.47"
"Algeria","Wheat",1993,"8097","80.97","89","17","1021.89"
"Algeria","Wheat",1994,"7999","79.99","89","17.88","1255.02"
"Algeria","Wheat",1995,"8924","89.24","89","17.36","2697.09"
"Algeria","Wheat",1996,"13090","130.9","89","16.76","479.77"
"Algeria","Wheat",1997,"8016","80.16","89","17.84","401.22"
"Algeria","Wheat",1998,"8847","88.47","89","17.14","322.84"
"Algeria","Wheat",1999,"10711","107.11","89","17.97","654.45"
"Algeria","Wheat",2000,"9194","91.94","89","17.9","603.67"
"Algeria","Wheat",2001,"11104","111.04","89","18.13","710.11"
"Algeria","Wheat",2002,"10739","107.39","89","17.85","816.55"
"Algeria","Wheat",2004,"13582","135.82","89","17.38","3747.86"
"Algeria","Wheat",2005,"15057","150.57","89","17.19","3662.87"
"Algeria","Wheat",2006,"15068","150.68","89","18.13","4110.72"
"Algeria","Wheat",2007,"12742","127.42","89","17.42","5390.79"
"Algeria","Wheat",2008,"11038","110.38","89","17.55","11556.12"
"Algeria","Wheat",2009,"15975","159.75","89","17.78","3867.99"
"Algeria","Wheat",2010,"14838","148.38","89","17.59","1295.88"
"Algeria","Wheat",2011,"17405","174.05","89","17.79","13861.76"
"Algeria","Wheat",2012,"17639","176.39","89","17.91","17379.76"
"Algeria","Wheat",2013,"19100","191","89","17.65","17278.65"
"Angola","Cassava",1990,"41177","411.77","1010","24.12","64"
"Angola","Cassava",1991,"40295","402.95","1010","24.02","79"
"Angola","Cassava",1992,"42295","422.95","1010","23.96","23"
"Angola","Cassava",1993,"42295","422.95","1010","24.15","169"
"Angola","Cassava",1994,"58596","585.96","1010","24.04","25.5"
"Angola","Cassava",1995,"51000","510","1010","24.56","336"
"Angola","Cassava",1996,"48077","480.77","1010","24.11","40"
"Angola","Cassava",1997,"44205","442.05","1010","24.06","40"
"Angola","Cassava",1998,"55728","557.28","1010","24.96","40"
"Angola","Cassava",1999,"59821","598.21","1010","24.37","40"
"Angola","Cassava",2000,"82992","829.92","1010","24.41","40"
"Angola","Cassava",2001,"94072","940.72","1010","24.43","40"
"Angola","Cassava",2002,"110071","1100.71","1010","24.79","40"
"Angola","Cassava",2004,"125605","1256.05","1010","24.22","40"
"Angola","Cassava",2005,"117628","1176.28","1010","24.41","40"
"Angola","Cassava",2006,"117201","1172.01","1010","24.14","40"
"Angola","Cassava",2007,"115387","1153.87","1010","24.24","40"
"Angola","Cassava",2008,"148084","1480.84","1010","24.27","40"
"Angola","Cassava",2009,"151759","1517.59","1010","24.33","40"
"Angola","Cassava",2010,"155782","1557.82","1010","24.44","40"
"Angola","Cassava",2011,"133649","1336.49","1010","24.15","40"
"Angola","Cassava",2012,"100073","1000.73","1010","24.24","40"
"Angola","Cassava",2013,"140517","1405.17","1010","24.55","40"
"Angola","Maize",1990,"2736","27.36","1010","24.12","64"
"Angola","Maize",1991,"4013","40.13","1010","24.02","79"
"Angola","Maize",1992,"3778","37.78","1010","23.96","23"
"Angola","Maize",1993,"2627","26.27","1010","24.15","169"
"Angola","Maize",1994,"2463","24.63","1010","24.04","25.5"
"Angola","Maize",1995,"3517","35.17","1010","24.56","336"
"Angola","Maize",1996,"6993","69.93","1010","24.11","40"
"Angola","Maize",1997,"5959","59.59","1010","24.06","40"
"Angola","Maize",1998,"7396","73.96","1010","24.96","40"
"Angola","Maize",1999,"6361","63.61","1010","24.37","40"
"Angola","Maize",2000,"5745","57.45","1010","24.41","40"
"Angola","Maize",2001,"5754","57.54","1010","24.43","40"
"Angola","Maize",2002,"6706","67.06","1010","24.79","40"
"Angola","Maize",2004,"5404","54.04","1010","24.22","40"
"Angola","Maize",2005,"6736","67.36","1010","24.41","40"
"Angola","Maize",2006,"4687","46.87","1010","24.14","40"
"Angola","Maize",2007,"5091","50.91","1010","24.24","40"
"Angola","Maize",2008,"7946","79.46","1010","24.27","40"
"Angola","Maize",2009,"6614","66.14","1010","24.33","40"
"Angola","Maize",2010,"7200","72","1010","24.44","40"
"Angola","Maize",2011,"7376","73.76","1010","24.15","40"
"Angola","Maize",2012,"7770","77.7","1010","24.24","40"
"Angola","Maize",2013,"9467","94.67","1010","24.55","40"
"Angola","Potatoes",1990,"40000","400","1010","24.12","64"
"Angola","Potatoes",1991,"40000","400","1010","24.02","79"
"Angola","Potatoes",1992,"40000","400","1010","23.96","23"
"Angola","Potatoes",1993,"70000","700","1010","24.15","169"
"Angola","Potatoes",1994,"90000","900","1010","24.04","25.5"
"Angola","Potatoes",1995,"76738","767.38","1010","24.56","336"
"Angola","Potatoes",1996,"70000","700","1010","24.11","40"
"Angola","Potatoes",1997,"68571","685.71","1010","24.06","40"
"Angola","Potatoes",1998,"62724","627.24","1010","24.96","40"
"Angola","Potatoes",1999,"54597","545.97","1010","24.37","40"
"Angola","Potatoes",2000,"29885","298.85","1010","24.41","40"
"Angola","Potatoes",2001,"42552","425.52","1010","24.43","40"
"Angola","Potatoes",2002,"42754","427.54","1010","24.79","40"
"Angola","Potatoes",2004,"20150","201.5","1010","24.22","40"
"Angola","Potatoes",2005,"23646","236.46","1010","24.41","40"
"Angola","Potatoes",2006,"52148","521.48","1010","24.14","40"
"Angola","Potatoes",2007,"62138","621.38","1010","24.24","40"
"Angola","Potatoes",2008,"85085","850.85","1010","24.27","40"
"Angola","Potatoes",2009,"86509","865.09","1010","24.33","40"
"Angola","Potatoes",2010,"87425","874.25","1010","24.44","40"
"Angola","Potatoes",2011,"81366","813.66","1010","24.15","40"
"Angola","Potatoes",2012,"69381","693.81","1010","24.24","40"
"Angola","Potatoes",2013,"63303","633.03","1010","24.55","40"
"Angola","Rice, paddy",1990,"9512","95.12","1010","24.12","64"
"Angola","Rice, paddy",1991,"10000","100","1010","24.02","79"
"Angola","Rice, paddy",1992,"9106","91.06","1010","23.96","23"
"Angola","Rice, paddy",1993,"8000","80","1010","24.15","169"
"Angola","Rice, paddy",1994,"8750","87.5","1010","24.04","25.5"
"Angola","Rice, paddy",1995,"14615","146.15","1010","24.56","336"
"Angola","Rice, paddy",1996,"17500","175","1010","24.11","40"
"Angola","Rice, paddy",1997,"20000","200","1010","24.06","40"
"Angola","Rice, paddy",1998,"20000","200","1010","24.96","40"
"Angola","Rice, paddy",1999,"14235","142.35","1010","24.37","40"
"Angola","Rice, paddy",2000,"13454","134.54","1010","24.41","40"
"Angola","Rice, paddy",2001,"13701","137.01","1010","24.43","40"
"Angola","Rice, paddy",2002,"13198","131.98","1010","24.79","40"
"Angola","Rice, paddy",2004,"11584","115.84","1010","24.22","40"
"Angola","Rice, paddy",2005,"6977","69.77","1010","24.41","40"
"Angola","Rice, paddy",2006,"4947","49.47","1010","24.14","40"
"Angola","Rice, paddy",2007,"5143","51.43","1010","24.24","40"
"Angola","Rice, paddy",2008,"5084","50.84","1010","24.27","40"
"Angola","Rice, paddy",2009,"6028","60.28","1010","24.33","40"
"Angola","Rice, paddy",2010,"7403","74.03","1010","24.44","40"
"Angola","Rice, paddy",2011,"8914","89.14","1010","24.15","40"
"Angola","Rice, paddy",2012,"7703","77.03","1010","24.24","40"
"Angola","Rice, paddy",2013,"12744","127.44","1010","24.55","40"
"Angola","Sorghum",2000,"3333","33.33","1010","24.41","40"
"Angola","Sorghum",2001,"3571","35.71","1010","24.43","40"
"Angola","Sorghum",2002,"3400","34","1010","24.79","40"
"Angola","Sorghum",2004,"3333","33.33","1010","24.22","40"
"Angola","Sorghum",2005,"3333","33.33","1010","24.41","40"
"Angola","Sorghum",2006,"4091","40.91","1010","24.14","40"
"Angola","Sorghum",2007,"4031","40.31","1010","24.24","40"
"Angola","Sorghum",2008,"929","9.29","1010","24.27","40"
"Angola","Sorghum",2009,"2480","24.8","1010","24.33","40"
"Angola","Sorghum",2010,"2814","28.14","1010","24.44","40"
"Angola","Sorghum",2011,"3320","33.2","1010","24.15","40"
"Angola","Sorghum",2012,"998","9.98","1010","24.24","40"
"Angola","Sorghum",2013,"2415","24.15","1010","24.55","40"
"Angola","Soybeans",2000,"2333","23.33","1010","24.41","40"
"Angola","Soybeans",2001,"2500","25","1010","24.43","40"
"Angola","Soybeans",2002,"2857","28.57","1010","24.79","40"
"Angola","Soybeans",2004,"3600","36","1010","24.22","40"
"Angola","Soybeans",2005,"3793","37.93","1010","24.41","40"
"Angola","Soybeans",2006,"4286","42.86","1010","24.14","40"
"Angola","Soybeans",2007,"6883","68.83","1010","24.24","40"
"Angola","Soybeans",2008,"8575","85.75","1010","24.27","40"
"Angola","Soybeans",2009,"4449","44.49","1010","24.33","40"
"Angola","Soybeans",2010,"4446","44.46","1010","24.44","40"
"Angola","Soybeans",2011,"5294","52.94","1010","24.15","40"
"Angola","Soybeans",2012,"1641","16.41","1010","24.24","40"
"Angola","Soybeans",2013,"4405","44.05","1010","24.55","40"
"Angola","Sweet potatoes",1990,"89342","893.42","1010","24.12","64"
"Angola","Sweet potatoes",1991,"83001","830.01","1010","24.02","79"
"Angola","Sweet potatoes",1992,"90000","900","1010","23.96","23"
"Angola","Sweet potatoes",1993,"88095","880.95","1010","24.15","169"
"Angola","Sweet potatoes",1994,"83192","831.92","1010","24.04","25.5"
"Angola","Sweet potatoes",1995,"81138","811.38","1010","24.56","336"
"Angola","Sweet potatoes",1996,"85455","854.55","1010","24.11","40"
"Angola","Sweet potatoes",1997,"78098","780.98","1010","24.06","40"
"Angola","Sweet potatoes",1998,"76256","762.56","1010","24.96","40"
"Angola","Sweet potatoes",1999,"82865","828.65","1010","24.37","40"
"Angola","Sweet potatoes",2000,"34938","349.38","1010","24.41","40"
"Angola","Sweet potatoes",2001,"44458","444.58","1010","24.43","40"
"Angola","Sweet potatoes",2002,"42190","421.9","1010","24.79","40"
"Angola","Sweet potatoes",2004,"45360","453.6","1010","24.22","40"
"Angola","Sweet potatoes",2005,"46159","461.59","1010","24.41","40"
"Angola","Sweet potatoes",2006,"44240","442.4","1010","24.14","40"
"Angola","Sweet potatoes",2007,"58855","588.55","1010","24.24","40"
"Angola","Sweet potatoes",2008,"65437","654.37","1010","24.27","40"
"Angola","Sweet potatoes",2009,"66475","664.75","1010","24.33","40"
"Angola","Sweet potatoes",2010,"63001","630.01","1010","24.44","40"
"Angola","Sweet potatoes",2011,"65512","655.12","1010","24.15","40"
"Angola","Sweet potatoes",2012,"52954","529.54","1010","24.24","40"
"Angola","Sweet potatoes",2013,"73409","734.09","1010","24.55","40"
"Angola","Wheat",1990,"7995","79.95","1010","24.12","64"
"Angola","Wheat",1991,"8000","80","1010","24.02","79"
"Angola","Wheat",1992,"8000","80","1010","23.96","23"
"Angola","Wheat",1993,"8876","88.76","1010","24.15","169"
"Angola","Wheat",1994,"10000","100","1010","24.04","25.5"
"Angola","Wheat",1995,"11855","118.55","1010","24.56","336"
"Angola","Wheat",1996,"13738","137.38","1010","24.11","40"
"Angola","Wheat",1997,"15509","155.09","1010","24.06","40"
"Angola","Wheat",1998,"17143","171.43","1010","24.96","40"
"Angola","Wheat",1999,"17391","173.91","1010","24.37","40"
"Angola","Wheat",2000,"17023","170.23","1010","24.41","40"
"Angola","Wheat",2001,"16667","166.67","1010","24.43","40"
"Angola","Wheat",2002,"15455","154.55","1010","24.79","40"
"Angola","Wheat",2004,"12442","124.42","1010","24.22","40"
"Angola","Wheat",2005,"10946","109.46","1010","24.41","40"
"Angola","Wheat",2006,"10000","100","1010","24.14","40"
"Angola","Wheat",2007,"10000","100","1010","24.24","40"
"Angola","Wheat",2008,"10000","100","1010","24.27","40"
"Angola","Wheat",2009,"10000","100","1010","24.33","40"
"Angola","Wheat",2010,"10526","105.26","1010","24.44","40"
"Angola","Wheat",2011,"10959","109.59","1010","24.15","40"
"Angola","Wheat",2012,"11258","112.58","1010","24.24","40"
"Angola","Wheat",2013,"9022","90.22","1010","24.55","40"
"Argentina","Cassava",1990,"100000","1000","591","17.46","26156"
"Argentina","Cassava",1990,"100000","1000","591","17.67","26156"
"Argentina","Cassava",1991,"100000","1000","591","17.64","26156"
"Argentina","Cassava",1991,"100000","1000","591","17.86","26156"
"Argentina","Cassava",1992,"100000","1000","591","17.09","26156"
"Argentina","Cassava",1992,"100000","1000","591","17.51","26156"
"Argentina","Cassava",1993,"100000","1000","591","17.32","26156"
"Argentina","Cassava",1993,"100000","1000","591","17.53","26156"
"Argentina","Cassava",1994,"100000","1000","591","18.17","30195"
"Argentina","Cassava",1994,"100000","1000","591","18.31","30195"
"Argentina","Cassava",1995,"100000","1000","591","17.74","37842"
"Argentina","Cassava",1995,"100000","1000","591","17.62","37842"
"Argentina","Cassava",1996,"100000","1000","591","17.64","54595"
"Argentina","Cassava",1996,"100000","1000","591","17.97","54595"
"Argentina","Cassava",1997,"100000","1000","591","18.29","77691"
"Argentina","Cassava",1997,"100000","1000","591","18.54","77691"
"Argentina","Cassava",1998,"100000","1000","591","17.23","62397"
"Argentina","Cassava",1998,"100000","1000","591","17.52","62397"
"Argentina","Cassava",1999,"100000","1000","591","17.15","62831.39"
"Argentina","Cassava",1999,"100000","1000","591","17.71","62831.39"
"Argentina","Cassava",2000,"100000","1000","591","16.98","63265.78"
"Argentina","Cassava",2000,"100000","1000","591","17.66","63265.78"
"Argentina","Cassava",2001,"100000","1000","591","17.71","63700.17"
"Argentina","Cassava",2001,"100000","1000","591","18.42","63700.17"
"Argentina","Cassava",2002,"100000","1000","591","17.58","64134.56"
"Argentina","Cassava",2002,"100000","1000","591","18.07","64134.56"
"Argentina","Cassava",2004,"100000","1000","591","17.67","65003.34"
"Argentina","Cassava",2004,"100000","1000","591","18.11","65003.34"
"Argentina","Cassava",2005,"100000","1000","591","17.32","65437.73"
"Argentina","Cassava",2005,"100000","1000","591","17.83","65437.73"
"Argentina","Cassava",2006,"100000","1000","591","18.1","65872.12"
"Argentina","Cassava",2006,"100000","1000","591","18.35","65872.12"
"Argentina","Cassava",2007,"100000","1000","591","16.71","81582.64"
"Argentina","Cassava",2007,"100000","1000","591","17.14","81582.64"
"Argentina","Cassava",2008,"100000","1000","591","17.71","87149.01"
"Argentina","Cassava",2008,"100000","1000","591","18.39","87149.01"
"Argentina","Cassava",2009,"101695","1016.95","591","18.16","61586.56"
"Argentina","Cassava",2009,"101695","1016.95","591","18.09","61586.56"
"Argentina","Cassava",2010,"101000","1010","591","17.33","105915.04"
"Argentina","Cassava",2010,"101000","1010","591","17.84","105915.04"
"Argentina","Cassava",2011,"100000","1000","591","17.58","100424.62"
"Argentina","Cassava",2011,"100000","1000","591","17.93","100424.62"
"Argentina","Cassava",2012,"100000","1000","591","18.18","136185.08"
"Argentina","Cassava",2012,"100000","1000","591","18.43","136185.08"
"Argentina","Cassava",2013,"99459","994.59","591","16.45","171945.54"
"Argentina","Cassava",2013,"99459","994.59","591","16.88","171945.54"
