Area,Year,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp_f
Botswana,1994,Maize,1698,416,17.0,66.668
Botswana,1995,Maize,9477,416,17.0,67.928
Botswana,1996,Maize,2463,416,17.0,66.38
Botswana,1997,Maize,2867,416,17.0,66.668
Botswana,1998,Maize,910,416,17.0,68.09
Botswana,1999,Maize,1111,416,17.0,68.432
Botswana,2000,Maize,1123,416,17.0,66.146
Botswana,2001,Maize,1992,416,17.0,66.848
Botswana,2002,Maize,2947,416,17.0,67.80199999999999
Botswana,2004,Maize,1743,416,17.0,66.938
Botswana,2005,Maize,2297,416,17.0,68.756
Botswana,2006,Maize,2511,416,17.0,66.146
Botswana,2007,Maize,1219,416,17.0,67.47800000000001
Botswana,2008,Maize,1844,416,17.0,67.334
Botswana,2009,Maize,2429,416,17.0,66.65
Botswana,2010,Maize,1617,416,17.0,67.964
Botswana,2011,Maize,3473,416,17.0,66.542
Botswana,2012,Maize,1370,416,17.0,67.69399999999999
Botswana,2013,Maize,849,416,17.0,65.642
Brazil,1990,Cassava,125529,1761,49695.0,71.384
Brazil,1991,Cassava,126164,1761,58349.44,70.574
Brazil,1992,Cassava,120019,1761,67003.89,70.43
Brazil,1993,Cassava,120628,1761,75658.33,71.492
Brazil,1994,Cassava,132173,1761,84312.78,71.438
Brazil,1995,Cassava,130631,1761,92967.22,71.726
Brazil,1996,Cassava,117588,1761,101621.67,70.80799999999999
Brazil,1997,Cassava,128200,1761,110276.11,71.438
Brazil,1998,Cassava,123522,1761,118930.56,72.23
Brazil,1999,Cassava,132795,1761,127585.0,70.862
Brazil,2000,Cassava,134815,1761,140423.0,71.042
Brazil,2001,Cassava,135418,1761,151523.0,71.852
Brazil,2002,Cassava,137949,1761,145552.0,72.5
Brazil,2004,Cassava,136343,1761,214725.0,70.862
Brazil,2005,Cassava,136059,1761,232232.0,71.69
Brazil,2006,Cassava,140463,1761,238716.0,71.276
Brazil,2007,Cassava,140099,1761,304031.0,71.94200000000001
Brazil,2008,Cassava,141371,1761,312637.0,71.348
Brazil,2009,Cassava,138613,1761,335742.0,72.05
Brazil,2010,Cassava,139499,1761,342580.0,71.816
Brazil,2011,Cassava,146230,1761,345026.0,71.132
Brazil,2012,Cassava,136118,1761,346583.0,71.888
Brazil,2013,Cassava,140795,1761,367778.0,70.862
Bulgaria,1990,Maize,28771,608,3906.0,49.118
Bulgaria,1991,Maize,49551,608,3906.0,46.652
Bulgaria,1992,Maize,28128,608,3906.0,48.326
Bulgaria,1993,Maize,18609,608,3777.25,48.2
Bulgaria,1994,Maize,28056,608,3648.5,50.414
Bulgaria,1995,Maize,38237,608,3519.75,47.641999999999996
Bulgaria,1996,Maize,21810,608,3391.0,47.192
Bulgaria,1997,Maize,35782,608,3262.25,46.868
Bulgaria,1998,Maize,27318,608,3133.5,48.488
Bulgaria,1999,Maize,38239,608,3004.75,49.406
Bulgaria,2000,Maize,17239,608,2876.0,49.82
Bulgaria,2001,Maize,24713,608,2747.25,49.19
Bulgaria,2002,Maize,42364,608,2618.5,49.28
Bulgaria,2004,Maize,55400,608,2361.0,48.524
Bulgaria,2005,Maize,53085,608,2232.25,47.444
Bulgaria,2006,Maize,45328,608,2103.5,48.344
Bulgaria,2007,Maize,61244,608,1974.75,50.414
Bulgaria,2008,Maize,41548,608,1846.0,49.82
Bulgaria,2009,Maize,47071,608,1717.25,49.532
Bulgaria,2010,Maize,62512,608,1588.5,49.370000000000005
Bulgaria,2011,Maize,55310,608,1459.75,48.506
Bulgaria,2012,Maize,36800,608,1331.0,49.982
Bulgaria,2013,Maize,63943,608,1197.0,52.268
Burkina Faso,1990,Cassava,29600,748,29.1,83.786
Burkina Faso,1991,Cassava,24558,748,29.1,83.12
Burkina Faso,1992,Cassava,21429,748,29.1,82.508
Burkina Faso,1993,Cassava,19455,748,17.0,83.44399999999999
Burkina Faso,1994,Cassava,20000,748,6.0,82.4
Burkina Faso,1995,Cassava,20000,748,3.04,83.228
Burkina Faso,1996,Cassava,20489,748,39.16,83.732
Burkina Faso,1997,Cassava,20557,748,75.29,83.336
Burkina Faso,1998,Cassava,20706,748,111.41,84.11
Burkina Faso,1999,Cassava,20902,748,93.43,83.21000000000001
Burkina Faso,2000,Cassava,21037,748,75.44,83.48
Burkina Faso,2001,Cassava,21388,748,57.46,83.786
Burkina Faso,2002,Cassava,21551,748,39.47,84.146
Burkina Faso,2004,Cassava,22411,748,1.28,84.02
Burkina Faso,2005,Cassava,21952,748,92.21,84.524
Burkina Faso,2006,Cassava,21316,748,109.24,84.05600000000001
Burkina Faso,2007,Cassava,23030,748,292.05,84.128
Burkina Faso,2008,Cassava,19060,748,190.92,83.12
Burkina Faso,2009,Cassava,17452,748,132.3,84.28999999999999
Burkina Faso,2010,Cassava,15659,748,442.89,84.506
Burkina Faso,2011,Cassava,13548,748,843.0,84.25399999999999
Burkina Faso,2012,Cassava,13636,748,843.0,83.60600000000001
Burkina Faso,2013,Cassava,13594,748,843.0,84.938
Burundi,1990,Cassava,88969,1274,92.08,70.07
Burundi,1991,Cassava,89785,1274,92.08,69.746
Burundi,1992,Cassava,92046,1274,92.08,70.358
Burundi,1993,Cassava,90264,1274,96.99,70.10600000000001
Burundi,1994,Cassava,87884,1274,84.45,70.25
Burundi,1995,Cassava,86870,1274,144.2,70.79
Burundi,1996,Cassava,85779,1274,207.1,70.124
Burundi,1997,Cassava,86182,1274,117.56,70.718
Burundi,1998,Cassava,88820,1274,107.29,70.80799999999999
Burundi,1999,Cassava,88212,1274,150.24,69.818
Burundi,2000,Cassava,89953,1274,109.87,70.376
Burundi,2001,Cassava,89591,1274,72.56,70.232
Burundi,2002,Cassava,91456,1274,98.1,70.61
Burundi,2004,Cassava,79083,1274,508.26,71.078
Burundi,2005,Cassava,75230,1274,304.83,72.122
Burundi,2006,Cassava,87864,1274,190.51,71.294
Burundi,2007,Cassava,87275,1274,412.66,70.304
Burundi,2008,Cassava,64718,1274,456.44,70.322
Burundi,2009,Cassava,41867,1274,177.75,70.55600000000001
Burundi,2010,Cassava,40629,1274,264.53,71.15
Burundi,2011,Cassava,39948,1274,75.64,70.214
Burundi,2012,Cassava,42092,1274,98.59,70.592
Burundi,2013,Cassava,68749,1274,956.06,70.754
Cameroon,1990,Cassava,164386,1604,450.01,77.14399999999999
Cameroon,1991,Cassava,162200,1604,99.09,76.982
Cameroon,1992,Cassava,136333,1604,1137.56,76.28
Cameroon,1993,Cassava,131840,1604,774.49,76.82
Cameroon,1994,Cassava,127037,1604,411.42,76.874
Cameroon,1995,Cassava,118667,1604,48.35,77.378
Cameroon,1996,Cassava,115500,1604,180.08,77.0
Cameroon,1997,Cassava,106556,1604,630.12,76.964
Cameroon,1998,Cassava,90041,1604,258.02,78.188
Cameroon,1999,Cassava,136594,1604,653.0,76.946
Cameroon,2000,Cassava,132992,1604,545.0,76.78399999999999
Cameroon,2001,Cassava,81918,1604,687.0,77.018
Cameroon,2002,Cassava,76626,1604,815.79,77.468
Cameroon,2004,Cassava,66145,1604,849.48,77.756
Cameroon,2005,Cassava,105771,1604,829.59,77.648
Cameroon,2006,Cassava,107548,1604,950.22,77.702
Cameroon,2007,Cassava,140000,1604,918.88,77.882
Cameroon,2008,Cassava,140000,1604,882.13,77.756
Cameroon,2009,Cassava,139528,1604,813.77,77.972
Cameroon,2010,Cassava,140636,1604,1160.63,78.25999999999999
Cameroon,2011,Cassava,145720,1604,1372.47,77.45
Cameroon,2012,Cassava,115388,1604,1372.47,77.324
Cameroon,2013,Cassava,147894,1604,1372.47,77.81
Canada,1990,Maize,68602,537,29568.0,46.76
Canada,1991,Maize,67098,537,29477.5,46.634
Canada,1992,Maize,56927,537,29387.0,43.25
Canada,1993,Maize,64241,537,29296.5,43.664
Canada,1994,Maize,73748,537,29206.0,43.736
Canada,1995,Maize,72528,537,32223.4,44.942
Canada,1996,Maize,69141,537,35240.8,44.384
Canada,1997,Maize,68702,537,38258.2,44.096000000000004
Canada,1998,Maize,80054,537,41275.6,48.218
Canada,1999,Maize,79747,537,44293.0,46.922
Canada,2000,Maize,62844,537,39667.0,44.474000000000004
Canada,2001,Maize,66187,537,38456.0,47.246
Canada,2002,Maize,70128,537,34226.0,46.724000000000004
Canada,2004,Maize,82410,537,36138.0,44.635999999999996
Canada,2005,Maize,86035,537,36363.0,46.202
Canada,2006,Maize,84737,537,36572.75,47.588
Canada,2007,Maize,85108,537,45140.03,45.356
Canada,2008,Maize,90623,537,53707.3,45.5
Canada,2009,Maize,83723,537,54529.4,44.816
Canada,2010,Maize,97385,537,61050.0,47.552
Canada,2011,Maize,88946,537,62107.2,47.012
Canada,2012,Maize,92109,537,73508.9,48.632
Canada,2013,Maize,95878,537,81659.8,48.542
Central African Republic,1990,Cassava,28432,1342,0.04,77.756
Central African Republic,1991,Cassava,33604,1342,0.04,77.81
Central African Republic,1992,Cassava,34473,1342,0.04,76.658
Central African Republic,1993,Cassava,34472,1342,0.25,77.252
Central African Republic,1994,Cassava,30988,1342,2.16,77.702
Central African Republic,1995,Cassava,28918,1342,22.87,77.9
Central African Republic,1996,Cassava,29228,1342,22.87,77.576
Central African Republic,1997,Cassava,30458,1342,22.87,78.242
Central African Republic,1998,Cassava,30380,1342,22.87,78.72800000000001
Central African Republic,1999,Cassava,29421,1342,22.87,77.09
Central African Republic,2000,Cassava,29839,1342,22.87,77.72
Central African Republic,2001,Cassava,30383,1342,22.87,77.504
Central African Republic,2002,Cassava,30614,1342,22.87,77.792
Central African Republic,2004,Cassava,29768,1342,22.87,78.206
Central African Republic,2005,Cassava,29771,1342,22.87,78.656
Central African Republic,2006,Cassava,29789,1342,22.87,78.53
Central African Republic,2007,Cassava,30000,1342,22.87,78.584
Central African Republic,2008,Cassava,30000,1342,22.87,78.368
Central African Republic,2009,Cassava,30000,1342,22.87,79.10600000000001
Central African Republic,2010,Cassava,28175,1342,22.87,78.908
Central African Republic,2011,Cassava,28132,1342,22.87,77.414
Central African Republic,2012,Cassava,28132,1342,22.87,77.504
Central African Republic,2013,Cassava,28375,1342,22.87,78.242
Chile,1990,Maize,81395,1522,15373.0,55.184
Chile,1991,Maize,83916,1522,15373.0,55.4
Chile,1992,Maize,84884,1522,15373.0,55.274
Chile,1993,Maize,84890,1522,15373.0,55.868
Chile,1994,Maize,89381,1522,15373.0,56.156
Chile,1995,Maize,91000,1522,15373.0,55.436
Chile,1996,Maize,94453,1522,15373.0,55.688
Chile,1997,Maize,82417,1522,15373.0,56.588
Chile,1998,Maize,94006,1522,15373.0,55.742
Chile,1999,Maize,85153,1522,15373.0,55.832
Chile,2000,Maize,94120,1522,14264.54,55.382
Chile,2001,Maize,94306,1522,13156.09,55.688
Chile,2002,Maize,105902,1522,12047.63,55.31
Chile,2004,Maize,110678,1522,9830.72,56.192
Chile,2005,Maize,112285,1522,9830.72,55.508
Chile,2006,Maize,111840,1522,9830.72,55.742
Chile,2007,Maize,89302,1522,9830.72,54.158
Chile,2008,Maize,101411,1522,9830.72,56.641999999999996
Chile,2009,Maize,104956,1522,9830.72,55.471999999999994
Chile,2010,Maize,110808,1522,9830.72,54.842
Chile,2011,Maize,119978,1522,9830.72,55.85
Chile,2012,Maize,107224,1522,9830.72,56.264
Chile,2013,Maize,106321,1522,9830.72,55.525999999999996
Colombia,1990,Cassava,93532,3240,18058.29,80.996
Colombia,1991,Cassava,94555,3240,16817.0,81.14
Colombia,1992,Cassava,91084,3240,15305.94,81.28399999999999
Colombia,1993,Cassava,101888,3240,14961.81,81.35600000000001
Colombia,1994,Cassava,94651,3240,17051.34,80.906
Colombia,1995,Cassava,98583,3240,20156.23,81.14
Colombia,1996,Cassava,101765,3240,18131.0,80.816
Colombia,1997,Cassava,92083,3240,16005.0,81.572
Colombia,1998,Cassava,90321,3240,60687.0,81.80600000000001
Colombia,1999,Cassava,97882,3240,66088.0,80.186
Colombia,2000,Cassava,99939,3240,75843.0,80.564
Colombia,2001,Cassava,104108,3240,85515.3,81.104
Colombia,2002,Cassava,103100,3240,84023.26,81.986
Colombia,2004,Cassava,108559,3240,105514.19,81.14
Colombia,2005,Cassava,106912,3240,117881.45,81.608
Colombia,2006,Cassava,103639,3240,98328.63,81.518
Colombia,2007,Cassava,108337,3240,82439.06,81.41
