Unnamed: 0,Area,Crop,Year,Crop_Yield,Pesticide_hg/ha,Rain_mm,Temp_c
328,Angola,Wheat,2007,10000,40.0,1010.0,24.24
329,Angola,Cassava,2008,148084,40.0,1010.0,24.27
333,Angola,Sorghum,2008,929,40.0,1010.0,24.27
336,Angola,Wheat,2008,10000,40.0,1010.0,24.27
337,Angola,Cassava,2009,151759,40.0,1010.0,24.33
341,Angola,Sorghum,2009,2480,40.0,1010.0,24.33
344,Angola,Wheat,2009,10000,40.0,1010.0,24.33
345,Angola,Cassava,2010,155782,40.0,1010.0,24.44
349,Angola,Sorghum,2010,2814,40.0,1010.0,24.44
352,Angola,Wheat,2010,10526,40.0,1010.0,24.44
353,Angola,Cassava,2011,133649,40.0,1010.0,24.15
357,Angola,Sorghum,2011,3320,40.0,1010.0,24.15
360,Angola,Wheat,2011,10959,40.0,1010.0,24.15
361,Angola,Cassava,2012,100073,40.0,1010.0,24.24
365,Angola,Sorghum,2012,998,40.0,1010.0,24.24
368,Angola,Wheat,2012,11258,40.0,1010.0,24.24
369,Angola,Cassava,2013,140517,40.0,1010.0,24.55
373,Angola,Sorghum,2013,2415,40.0,1010.0,24.55
376,Angola,Wheat,2013,9022,40.0,1010.0,24.55
377,Argentina,Cassava,1990,100000,26156.0,591.0,17.46
378,Argentina,Cassava,1990,100000,26156.0,591.0,17.67
385,Argentina,Sorghum,1990,28116,26156.0,591.0,17.46
386,Argentina,Sorghum,1990,28116,26156.0,591.0,17.67
391,Argentina,Wheat,1990,18947,26156.0,591.0,17.46
392,Argentina,Wheat,1990,18947,26156.0,591.0,17.67
393,Argentina,Cassava,1991,100000,26156.0,591.0,17.64
394,Argentina,Cassava,1991,100000,26156.0,591.0,17.86
401,Argentina,Sorghum,1991,33320,26156.0,591.0,17.64
402,Argentina,Sorghum,1991,33320,26156.0,591.0,17.86
407,Argentina,Wheat,1991,18972,26156.0,591.0,17.64
408,Argentina,Wheat,1991,18972,26156.0,591.0,17.86
409,Argentina,Cassava,1992,100000,26156.0,591.0,17.09
410,Argentina,Cassava,1992,100000,26156.0,591.0,17.51
417,Argentina,Sorghum,1992,36217,26156.0,591.0,17.09
418,Argentina,Sorghum,1992,36217,26156.0,591.0,17.51
423,Argentina,Wheat,1992,21809,26156.0,591.0,17.09
424,Argentina,Wheat,1992,21809,26156.0,591.0,17.51
425,Argentina,Cassava,1993,100000,26156.0,591.0,17.32
426,Argentina,Cassava,1993,100000,26156.0,591.0,17.53
433,Argentina,Sorghum,1993,39529,26156.0,591.0,17.32
434,Argentina,Sorghum,1993,39529,26156.0,591.0,17.53
439,Argentina,Wheat,1993,23272,26156.0,591.0,17.32
440,Argentina,Wheat,1993,23272,26156.0,591.0,17.53
441,Argentina,Cassava,1994,100000,30195.0,591.0,18.17
442,Argentina,Cassava,1994,100000,30195.0,591.0,18.31
449,Argentina,Sorghum,1994,35065,30195.0,591.0,18.17
450,Argentina,Sorghum,1994,35065,30195.0,591.0,18.31
455,Argentina,Wheat,1994,20237,30195.0,591.0,18.17
456,Argentina,Wheat,1994,20237,30195.0,591.0,18.31
457,Argentina,Cassava,1995,100000,37842.0,591.0,17.74
458,Argentina,Cassava,1995,100000,37842.0,591.0,17.62
465,Argentina,Sorghum,1995,34588,37842.0,591.0,17.74
466,Argentina,Sorghum,1995,34588,37842.0,591.0,17.62
471,Argentina,Wheat,1995,21675,37842.0,591.0,17.74
472,Argentina,Wheat,1995,21675,37842.0,591.0,17.62
473,Argentina,Cassava,1996,100000,54595.0,591.0,17.64
474,Argentina,Cassava,1996,100000,54595.0,591.0,17.97
481,Argentina,Sorghum,1996,38763,54595.0,591.0,17.64
482,Argentina,Sorghum,1996,38763,54595.0,591.0,17.97
487,Argentina,Wheat,1996,19344,54595.0,591.0,17.64
488,Argentina,Wheat,1996,19344,54595.0,591.0,17.97
489,Argentina,Cassava,1997,100000,77691.0,591.0,18.29
490,Argentina,Cassava,1997,100000,77691.0,591.0,18.54
497,Argentina,Sorghum,1997,36845,77691.0,591.0,18.29
498,Argentina,Sorghum,1997,36845,77691.0,591.0,18.54
503,Argentina,Wheat,1997,22426,77691.0,591.0,18.29
504,Argentina,Wheat,1997,22426,77691.0,591.0,18.54
505,Argentina,Cassava,1998,100000,62397.0,591.0,17.23
506,Argentina,Cassava,1998,100000,62397.0,591.0,17.52
513,Argentina,Sorghum,1998,48105,62397.0,591.0,17.23
514,Argentina,Sorghum,1998,48105,62397.0,591.0,17.52
519,Argentina,Wheat,1998,26088,62397.0,591.0,17.23
520,Argentina,Wheat,1998,26088,62397.0,591.0,17.52
521,Argentina,Cassava,1999,100000,62831.39,591.0,17.15
522,Argentina,Cassava,1999,100000,62831.39,591.0,17.71
529,Argentina,Sorghum,1999,43845,62831.39,591.0,17.15
530,Argentina,Sorghum,1999,43845,62831.39,591.0,17.71
535,Argentina,Wheat,1999,23028,62831.39,591.0,17.15
536,Argentina,Wheat,1999,23028,62831.39,591.0,17.71
537,Argentina,Cassava,2000,100000,63265.78,591.0,16.98
538,Argentina,Cassava,2000,100000,63265.78,591.0,17.66
545,Argentina,Sorghum,2000,46477,63265.78,591.0,16.98
546,Argentina,Sorghum,2000,46477,63265.78,591.0,17.66
551,Argentina,Wheat,2000,24873,63265.78,591.0,16.98
552,Argentina,Wheat,2000,24873,63265.78,591.0,17.66
553,Argentina,Cassava,2001,100000,63700.17,591.0,17.71
554,Argentina,Cassava,2001,100000,63700.17,591.0,18.42
561,Argentina,Sorghum,2001,47429,63700.17,591.0,17.71
562,Argentina,Sorghum,2001,47429,63700.17,591.0,18.42
567,Argentina,Wheat,2001,24934,63700.17,591.0,17.71
568,Argentina,Wheat,2001,24934,63700.17,591.0,18.42
569,Argentina,Cassava,2002,100000,64134.56,591.0,17.58
570,Argentina,Cassava,2002,100000,64134.56,591.0,18.07
577,Argentina,Sorghum,2002,52691,64134.56,591.0,17.58
578,Argentina,Sorghum,2002,52691,64134.56,591.0,18.07
583,Argentina,Wheat,2002,22398,64134.56,591.0,17.58
584,Argentina,Wheat,2002,22398,64134.56,591.0,18.07
585,Argentina,Cassava,2004,100000,65003.34,591.0,17.67
586,Argentina,Cassava,2004,100000,65003.34,591.0,18.11
593,Argentina,Sorghum,2004,45531,65003.34,591.0,17.67
594,Argentina,Sorghum,2004,45531,65003.34,591.0,18.11
599,Argentina,Wheat,2004,25441,65003.34,591.0,17.67
600,Argentina,Wheat,2004,25441,65003.34,591.0,18.11
601,Argentina,Cassava,2005,100000,65437.73,591.0,17.32
602,Argentina,Cassava,2005,100000,65437.73,591.0,17.83
609,Argentina,Sorghum,2005,51872,65437.73,591.0,17.32
610,Argentina,Sorghum,2005,51872,65437.73,591.0,17.83
615,Argentina,Wheat,2005,26356,65437.73,591.0,17.32
616,Argentina,Wheat,2005,26356,65437.73,591.0,17.83
617,Argentina,Cassava,2006,100000,65872.12,591.0,18.1
618,Argentina,Cassava,2006,100000,65872.12,591.0,18.35
625,Argentina,Sorghum,2006,46778,65872.12,591.0,18.1
626,Argentina,Sorghum,2006,46778,65872.12,591.0,18.35
631,Argentina,Wheat,2006,25302,65872.12,591.0,18.1
632,Argentina,Wheat,2006,25302,65872.12,591.0,18.35
633,Argentina,Cassava,2007,100000,81582.64,591.0,16.71
634,Argentina,Cassava,2007,100000,81582.64,591.0,17.14
641,Argentina,Sorghum,2007,47021,81582.64,591.0,16.71
642,Argentina,Sorghum,2007,47021,81582.64,591.0,17.14
647,Argentina,Wheat,2007,26234,81582.64,591.0,16.71
648,Argentina,Wheat,2007,26234,81582.64,591.0,17.14
649,Argentina,Cassava,2008,100000,87149.01,591.0,17.71
650,Argentina,Cassava,2008,100000,87149.01,591.0,18.39
657,Argentina,Sorghum,2008,47474,87149.01,591.0,17.71
658,Argentina,Sorghum,2008,47474,87149.01,591.0,18.39
663,Argentina,Wheat,2008,28271,87149.01,591.0,17.71
664,Argentina,Wheat,2008,28271,87149.01,591.0,18.39
665,Argentina,Cassava,2009,101695,61586.56,591.0,18.16
666,Argentina,Cassava,2009,101695,61586.56,591.0,18.09
673,Argentina,Sorghum,2009,38752,61586.56,591.0,18.16
674,Argentina,Sorghum,2009,38752,61586.56,591.0,18.09
679,Argentina,Wheat,2009,19628,61586.56,591.0,18.16
680,Argentina,Wheat,2009,19628,61586.56,591.0,18.09
681,Argentina,Cassava,2010,101000,105915.04,591.0,17.33
682,Argentina,Cassava,2010,101000,105915.04,591.0,17.84
689,Argentina,Sorghum,2010,48163,105915.04,591.0,17.33
690,Argentina,Sorghum,2010,48163,105915.04,591.0,17.84
695,Argentina,Wheat,2010,27113,105915.04,591.0,17.33
696,Argentina,Wheat,2010,27113,105915.04,591.0,17.84
697,Argentina,Cassava,2011,100000,100424.62,591.0,17.58
698,Argentina,Cassava,2011,100000,100424.62,591.0,17.93
705,Argentina,Sorghum,2011,44029,100424.62,591.0,17.58
706,Argentina,Sorghum,2011,44029,100424.62,591.0,17.93
711,Argentina,Wheat,2011,35063,100424.62,591.0,17.58
712,Argentina,Wheat,2011,35063,100424.62,591.0,17.93
713,Argentina,Cassava,2012,100000,136185.08,591.0,18.18
714,Argentina,Cassava,2012,100000,136185.08,591.0,18.43
721,Argentina,Sorghum,2012,46534,136185.08,591.0,18.18
722,Argentina,Sorghum,2012,46534,136185.08,591.0,18.43
727,Argentina,Wheat,2012,32199,136185.08,591.0,18.18
728,Argentina,Wheat,2012,32199,136185.08,591.0,18.43
729,Argentina,Cassava,2013,99459,171945.54,591.0,16.45
730,Argentina,Cassava,2013,99459,171945.54,591.0,16.88
737,Argentina,Sorghum,2013,40852,171945.54,591.0,16.45
738,Argentina,Sorghum,2013,40852,171945.54,591.0,16.88
743,Argentina,Wheat,2013,26581,171945.54,591.0,16.45
744,Argentina,Wheat,2013,26581,171945.54,591.0,16.88
747,Armenia,Wheat,1992,21600,8.0,562.0,7.44
750,Armenia,Wheat,1993,22257,8.0,562.0,7.69
753,Armenia,Wheat,1994,17842,23.0,562.0,8.84
756,Armenia,Wheat,1995,25480,23.9,562.0,9.76
759,Armenia,Wheat,1996,23569,32.0,562.0,9.55
762,Armenia,Wheat,1997,17009,41.46,562.0,9.1
765,Armenia,Wheat,1998,20651,50.92,562.0,10.28
768,Armenia,Wheat,1999,19466,60.38,562.0,10.11
771,Armenia,Wheat,2000,16679,69.85,562.0,9.68
774,Armenia,Wheat,2001,22263,79.31,562.0,10.18
777,Armenia,Wheat,2002,23877,88.77,562.0,9.41
780,Armenia,Wheat,2004,23416,204.77,562.0,9.55
783,Armenia,Wheat,2005,20252,220.51,562.0,9.58
786,Armenia,Wheat,2006,14627,227.55,562.0,9.89
789,Armenia,Wheat,2007,25837,241.71,562.0,9.44
792,Armenia,Wheat,2008,24322,218.2,562.0,9.51
795,Armenia,Wheat,2009,22374,198.36,562.0,9.67
798,Armenia,Wheat,2010,21192,278.72,562.0,11.31
801,Armenia,Wheat,2011,28800,278.72,562.0,8.93
804,Armenia,Wheat,2012,26010,278.72,562.0,10.2
807,Armenia,Wheat,2013,31273,278.72,562.0,11.08
826,Australia,Sorghum,1990,24883,17866.0,534.0,16.8
827,Australia,Sorghum,1990,24883,17866.0,534.0,20.06
828,Australia,Sorghum,1990,24883,17866.0,534.0,12.11
829,Australia,Sorghum,1990,24883,17866.0,534.0,14.16
830,Australia,Sorghum,1990,24883,17866.0,534.0,18.05
831,Australia,Sorghum,1990,24883,17866.0,534.0,17.47
844,Australia,Wheat,1990,16344,17866.0,534.0,16.8
845,Australia,Wheat,1990,16344,17866.0,534.0,20.06
846,Australia,Wheat,1990,16344,17866.0,534.0,12.11
847,Australia,Wheat,1990,16344,17866.0,534.0,14.16
848,Australia,Wheat,1990,16344,17866.0,534.0,18.05
849,Australia,Wheat,1990,16344,17866.0,534.0,17.47
868,Australia,Sorghum,1991,19865,17866.0,534.0,16.78
869,Australia,Sorghum,1991,19865,17866.0,534.0,20.29
870,Australia,Sorghum,1991,19865,17866.0,534.0,12.22
871,Australia,Sorghum,1991,19865,17866.0,534.0,13.77
872,Australia,Sorghum,1991,19865,17866.0,534.0,18.73
873,Australia,Sorghum,1991,19865,17866.0,534.0,17.85
886,Australia,Wheat,1991,14698,17866.0,534.0,16.78
887,Australia,Wheat,1991,14698,17866.0,534.0,20.29
888,Australia,Wheat,1991,14698,17866.0,534.0,12.22
889,Australia,Wheat,1991,14698,17866.0,534.0,13.77
890,Australia,Wheat,1991,14698,17866.0,534.0,18.73
891,Australia,Wheat,1991,14698,17866.0,534.0,17.85
910,Australia,Sorghum,1992,25431,22234.0,534.0,15.78
911,Australia,Sorghum,1992,25431,22234.0,534.0,19.79
912,Australia,Sorghum,1992,25431,22234.0,534.0,11.21
913,Australia,Sorghum,1992,25431,22234.0,534.0,13.31
914,Australia,Sorghum,1992,25431,22234.0,534.0,18.45
915,Australia,Sorghum,1992,25431,22234.0,534.0,16.89
928,Australia,Wheat,1992,17812,22234.0,534.0,15.78
929,Australia,Wheat,1992,17812,22234.0,534.0,19.79
930,Australia,Wheat,1992,17812,22234.0,534.0,11.21
931,Australia,Wheat,1992,17812,22234.0,534.0,13.31
932,Australia,Wheat,1992,17812,22234.0,534.0,18.45
933,Australia,Wheat,1992,17812,22234.0,534.0,16.89
952,Australia,Sorghum,1993,12834,23899.0,534.0,16.71
953,Australia,Sorghum,1993,12834,23899.0,534.0,20.19
954,Australia,Sorghum,1993,12834,23899.0,534.0,11.84
955,Australia,Sorghum,1993,12834,23899.0,534.0,13.81
956,Australia,Sorghum,1993,12834,23899.0,534.0,18.03
957,Australia,Sorghum,1993,12834,23899.0,534.0,17.42
970,Australia,Wheat,1993,19658,23899.0,534.0,16.71
971,Australia,Wheat,1993,19658,23899.0,534.0,20.19
972,Australia,Wheat,1993,19658,23899.0,534.0,11.84
973,Australia,Wheat,1993,19658,23899.0,534.0,13.81
974,Australia,Wheat,1993,19658,23899.0,534.0,18.03
975,Australia,Wheat,1993,19658,23899.0,534.0,17.42
994,Australia,Sorghum,1994,21697,21057.0,534.0,16.43
995,Australia,Sorghum,1994,21697,21057.0,534.0,19.59
996,Australia,Sorghum,1994,21697,21057.0,534.0,11.6
997,Australia,Sorghum,1994,21697,21057.0,534.0,13.52
998,Australia,Sorghum,1994,21697,21057.0,534.0,19.17
999,Australia,Sorghum,1994,21697,21057.0,534.0,17.36
1012,Australia,Wheat,1994,11356,21057.0,534.0,16.43
1013,Australia,Wheat,1994,11356,21057.0,534.0,19.59
1014,Australia,Wheat,1994,11356,21057.0,534.0,11.6
1015,Australia,Wheat,1994,11356,21057.0,534.0,13.52
1016,Australia,Wheat,1994,11356,21057.0,534.0,19.17
1017,Australia,Wheat,1994,11356,21057.0,534.0,17.36
1036,Australia,Sorghum,1995,18555,25598.0,534.0,16.14
1037,Australia,Sorghum,1995,18555,25598.0,534.0,20.12
1038,Australia,Sorghum,1995,18555,25598.0,534.0,11.39
1039,Australia,Sorghum,1995,18555,25598.0,534.0,13.14
1040,Australia,Sorghum,1995,18555,25598.0,534.0,18.88
1041,Australia,Sorghum,1995,18555,25598.0,534.0,16.95
1054,Australia,Wheat,1995,17899,25598.0,534.0,16.14
1055,Australia,Wheat,1995,17899,25598.0,534.0,20.12
1056,Australia,Wheat,1995,17899,25598.0,534.0,11.39
1057,Australia,Wheat,1995,17899,25598.0,534.0,13.14
1058,Australia,Wheat,1995,17899,25598.0,534.0,18.88
1059,Australia,Wheat,1995,17899,25598.0,534.0,16.95
1078,Australia,Sorghum,1996,20677,31185.0,534.0,16.12
1079,Australia,Sorghum,1996,20677,31185.0,534.0,20.06
1080,Australia,Sorghum,1996,20677,31185.0,534.0,11.29
1081,Australia,Sorghum,1996,20677,31185.0,534.0,13.05
1082,Australia,Sorghum,1996,20677,31185.0,534.0,19.13
1083,Australia,Sorghum,1996,20677,31185.0,534.0,17.05
1096,Australia,Wheat,1996,21673,31185.0,534.0,16.12
1097,Australia,Wheat,1996,21673,31185.0,534.0,20.06
1098,Australia,Wheat,1996,21673,31185.0,534.0,11.29
1099,Australia,Wheat,1996,21673,31185.0,534.0,13.05
1100,Australia,Wheat,1996,21673,31185.0,534.0,19.13
1101,Australia,Wheat,1996,21673,31185.0,534.0,17.05
1120,Australia,Sorghum,1997,26195,34091.0,534.0,16.48
1121,Australia,Sorghum,1997,26195,34091.0,534.0,20.16
1122,Australia,Sorghum,1997,26195,34091.0,534.0,12.13
1123,Australia,Sorghum,1997,26195,34091.0,534.0,13.93
1124,Australia,Sorghum,1997,26195,34091.0,534.0,18.94
1125,Australia,Sorghum,1997,26195,34091.0,534.0,17.51
1138,Australia,Wheat,1997,18412,34091.0,534.0,16.48
1139,Australia,Wheat,1997,18412,34091.0,534.0,20.16
1140,Australia,Wheat,1997,18412,34091.0,534.0,12.13
1141,Australia,Wheat,1997,18412,34091.0,534.0,13.93
1142,Australia,Wheat,1997,18412,34091.0,534.0,18.94
1143,Australia,Wheat,1997,18412,34091.0,534.0,17.51
1162,Australia,Sorghum,1998,21321,37215.0,534.0,16.28
1163,Australia,Sorghum,1998,21321,37215.0,534.0,20.62
1164,Australia,Sorghum,1998,21321,37215.0,534.0,12.46
1165,Australia,Sorghum,1998,21321,37215.0,534.0,13.61
1166,Australia,Sorghum,1998,21321,37215.0,534.0,18.9
1167,Australia,Sorghum,1998,21321,37215.0,534.0,18.05
1180,Australia,Wheat,1998,19153,37215.0,534.0,16.28
1181,Australia,Wheat,1998,19153,37215.0,534.0,20.62
1182,Australia,Wheat,1998,19153,37215.0,534.0,12.46
1183,Australia,Wheat,1998,19153,37215.0,534.0,13.61
1184,Australia,Wheat,1998,19153,37215.0,534.0,18.9
1185,Australia,Wheat,1998,19153,37215.0,534.0,18.05
1204,Australia,Sorghum,1999,32215,34200.0,534.0,16.77
1205,Australia,Sorghum,1999,32215,34200.0,534.0,19.75
1206,Australia,Sorghum,1999,32215,34200.0,534.0,12.1
1207,Australia,Sorghum,1999,32215,34200.0,534.0,14.2
1208,Australia,Sorghum,1999,32215,34200.0,534.0,19.28
1209,Australia,Sorghum,1999,32215,34200.0,534.0,17.55
1222,Australia,Wheat,1999,20066,34200.0,534.0,16.77
1223,Australia,Wheat,1999,20066,34200.0,534.0,19.75
1224,Australia,Wheat,1999,20066,34200.0,534.0,12.1
1225,Australia,Wheat,1999,20066,34200.0,534.0,14.2
1226,Australia,Wheat,1999,20066,34200.0,534.0,19.28
1227,Australia,Wheat,1999,20066,34200.0,534.0,17.55
1246,Australia,Sorghum,2000,34003,33475.0,534.0,17.08
1247,Australia,Sorghum,2000,34003,33475.0,534.0,19.89
1248,Australia,Sorghum,2000,34003,33475.0,534.0,12.09
1249,Australia,Sorghum,2000,34003,33475.0,534.0,14.32
1250,Australia,Sorghum,2000,34003,33475.0,534.0,19.07
1251,Australia,Sorghum,2000,34003,33475.0,534.0,17.57
1264,Australia,Wheat,2000,18209,33475.0,534.0,17.08
1265,Australia,Wheat,2000,18209,33475.0,534.0,19.89
1266,Australia,Wheat,2000,18209,33475.0,534.0,12.09
1267,Australia,Wheat,2000,18209,33475.0,534.0,14.32
1268,Australia,Wheat,2000,18209,33475.0,534.0,19.07
1269,Australia,Wheat,2000,18209,33475.0,534.0,17.57
1288,Australia,Sorghum,2001,25539,32710.0,534.0,16.63
1289,Australia,Sorghum,2001,25539,32710.0,534.0,20.21
1290,Australia,Sorghum,2001,25539,32710.0,534.0,12.29
1291,Australia,Sorghum,2001,25539,32710.0,534.0,14.18
1292,Australia,Sorghum,2001,25539,32710.0,534.0,18.39
1293,Australia,Sorghum,2001,25539,32710.0,534.0,17.85
1306,Australia,Wheat,2001,18209,32710.0,534.0,16.63
1307,Australia,Wheat,2001,18209,32710.0,534.0,20.21
1308,Australia,Wheat,2001,18209,32710.0,534.0,12.29
1309,Australia,Wheat,2001,18209,32710.0,534.0,14.18
1310,Australia,Wheat,2001,18209,32710.0,534.0,18.39
1311,Australia,Wheat,2001,18209,32710.0,534.0,17.85
1330,Australia,Sorghum,2002,24561,26651.0,534.0,16.63
1331,Australia,Sorghum,2002,24561,26651.0,534.0,20.38
1332,Australia,Sorghum,2002,24561,26651.0,534.0,12.31
1333,Australia,Sorghum,2002,24561,26651.0,534.0,14.08
1334,Australia,Sorghum,2002,24561,26651.0,534.0,18.93
1335,Australia,Sorghum,2002,24561,26651.0,534.0,17.73
1348,Australia,Wheat,2002,21076,26651.0,534.0,16.63
1349,Australia,Wheat,2002,21076,26651.0,534.0,20.38
1350,Australia,Wheat,2002,21076,26651.0,534.0,12.31
1351,Australia,Wheat,2002,21076,26651.0,534.0,14.08
1352,Australia,Wheat,2002,21076,26651.0,534.0,18.93
1353,Australia,Wheat,2002,21076,26651.0,534.0,17.73
1372,Australia,Sorghum,2004,27367,36276.0,534.0,16.64
1373,Australia,Sorghum,2004,27367,36276.0,534.0,20.42
1374,Australia,Sorghum,2004,27367,36276.0,534.0,12.35
