Area,Year,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Australia,1996,534,16.12,31185.0
Australia,1996,534,20.06,31185.0
Australia,1996,534,11.29,31185.0
Australia,1996,534,13.05,31185.0
Australia,1996,534,19.13,31185.0
Australia,1996,534,17.05,31185.0
Australia,1997,534,16.48,34091.0
Australia,1997,534,20.16,34091.0
Australia,1997,534,12.13,34091.0
Australia,1997,534,13.93,34091.0
Australia,1997,534,18.94,34091.0
Australia,1997,534,17.51,34091.0
Australia,1998,534,16.28,37215.0
Australia,1998,534,20.62,37215.0
Australia,1998,534,12.46,37215.0
Australia,1998,534,13.61,37215.0
Australia,1998,534,18.9,37215.0
Australia,1998,534,18.05,37215.0
Australia,1999,534,16.77,34200.0
Australia,1999,534,19.75,34200.0
Australia,1999,534,12.1,34200.0
Australia,1999,534,14.2,34200.0
Australia,1999,534,19.28,34200.0
Australia,1999,534,17.55,34200.0
Australia,2000,534,17.08,33475.0
Australia,2000,534,19.89,33475.0
Australia,2000,534,12.09,33475.0
Australia,2000,534,14.32,33475.0
Australia,2000,534,19.07,33475.0
Australia,2000,534,17.57,33475.0
Australia,2001,534,16.63,32710.0
Australia,2001,534,20.21,32710.0
Australia,2001,534,12.29,32710.0
Australia,2001,534,14.18,32710.0
Australia,2001,534,18.39,32710.0
Australia,2001,534,17.85,32710.0
Australia,2002,534,16.63,26651.0
Australia,2002,534,20.38,26651.0
Australia,2002,534,12.31,26651.0
Australia,2002,534,14.08,26651.0
Australia,2002,534,18.93,26651.0
Australia,2002,534,17.73,26651.0
Australia,2004,534,16.64,36276.0
Australia,2004,534,20.42,36276.0
Australia,2004,534,12.35,36276.0
Australia,2004,534,13.74,36276.0
Australia,2004,534,18.87,36276.0
Australia,2004,534,17.87,36276.0
Australia,2005,534,16.93,34310.0
Australia,2005,534,20.71,34310.0
Australia,2005,534,12.48,34310.0
Australia,2005,534,14.38,34310.0
Australia,2005,534,18.26,34310.0
Australia,2005,534,18.03,34310.0
Australia,2006,534,16.75,35900.0
Australia,2006,534,20.17,35900.0
Australia,2006,534,12.51,35900.0
Australia,2006,534,13.99,35900.0
Australia,2006,534,18.99,35900.0
Australia,2006,534,17.75,35900.0
Australia,2007,534,17.49,32446.25
Australia,2007,534,20.31,32446.25
Australia,2007,534,12.83,32446.25
Australia,2007,534,14.99,32446.25
Australia,2007,534,18.84,32446.25
Australia,2007,534,18.02,32446.25
Australia,2008,534,16.7,42935.38
Australia,2008,534,19.79,42935.38
Australia,2008,534,12.0,42935.38
Australia,2008,534,14.11,42935.38
Australia,2008,534,18.78,42935.38
Australia,2008,534,17.32,42935.38
Australia,2009,534,17.39,38065.68
Australia,2009,534,20.65,38065.68
Australia,2009,534,12.87,38065.68
Australia,2009,534,14.65,38065.68
Australia,2009,534,19.01,38065.68
Australia,2009,534,18.18,38065.68
Australia,2010,534,16.72,42169.39
Australia,2010,534,20.33,42169.39
Australia,2010,534,12.37,42169.39
Australia,2010,534,14.23,42169.39
Australia,2010,534,19.09,42169.39
Australia,2010,534,18.0,42169.39
Australia,2011,534,16.9,47632.99
Australia,2011,534,19.88,47632.99
Australia,2011,534,12.16,47632.99
Australia,2011,534,14.19,47632.99
Australia,2011,534,19.99,47632.99
Australia,2011,534,17.71,47632.99
Australia,2012,534,16.84,48687.88
Australia,2012,534,20.08,48687.88
Australia,2012,534,11.79,48687.88
Australia,2012,534,14.27,48687.88
Australia,2012,534,19.55,48687.88
Australia,2012,534,17.47,48687.88
Australia,2013,534,17.39,45177.18
Australia,2013,534,20.14,45177.18
Australia,2013,534,12.19,45177.18
Australia,2013,534,14.74,45177.18
Australia,2013,534,19.98,45177.18
Australia,2013,534,18.09,45177.18
Austria,1990,1110,9.23,4246.0
Austria,1991,1110,8.15,4487.0
Austria,1992,1110,9.49,3897.0
Austria,1993,1110,8.48,3984.0
Austria,1994,1110,9.89,3619.0
Austria,1995,1110,8.79,3402.0
Austria,1996,1110,7.4,3565.0
Austria,1997,1110,8.37,3689.6
Austria,1998,1110,9.01,3340.3
Austria,1999,1110,9.17,3418.6
Austria,2000,1110,10.08,3563.2
Austria,2001,1110,8.75,3132.2
Austria,2002,1110,9.62,3079.2
Austria,2004,1110,8.76,3301.7
Austria,2005,1110,8.6,3404.0
Austria,2006,1110,9.13,3415.7
Austria,2007,1110,10.03,3526.6
Austria,2008,1110,9.96,4246.7
Austria,2009,1110,9.48,3531.8
Austria,2010,1110,8.36,3692.4
Austria,2011,1110,9.42,3441.5
Austria,2012,1110,9.42,3563.3
Austria,2013,1110,10.03,3108.6
Azerbaijan,1992,447,10.93,148.68
Azerbaijan,1993,447,10.53,148.68
Azerbaijan,1994,447,11.32,148.68
Azerbaijan,1995,447,12.81,148.68
Azerbaijan,1996,447,11.96,148.68
Azerbaijan,1997,447,11.89,148.68
Azerbaijan,1998,447,12.79,148.68
Azerbaijan,1999,447,12.74,148.68
Azerbaijan,2000,447,12.61,148.68
Azerbaijan,2001,447,12.97,148.68
Azerbaijan,2002,447,12.45,148.68
Azerbaijan,2004,447,12.76,148.68
Azerbaijan,2005,447,12.88,148.68
Azerbaijan,2006,447,12.66,148.68
Azerbaijan,2007,447,12.75,148.68
Azerbaijan,2008,447,12.3,262.99
Azerbaijan,2009,447,12.6,316.18
Azerbaijan,2010,447,13.85,333.85
Azerbaijan,2011,447,11.79,461.84
Azerbaijan,2012,447,13.0,516.35
Azerbaijan,2013,447,14.12,489.8
Bahamas,1990,..,25.74,484.59
Bahamas,1991,..,25.66,484.59
Bahamas,1992,1292,25.1,484.59
Bahamas,1993,1292,25.26,484.59
Bahamas,1994,1292,25.73,484.59
Bahamas,1995,1292,25.44,484.59
Bahamas,1996,1292,25.06,484.59
Bahamas,1997,1292,25.81,484.59
Bahamas,1998,1292,25.94,484.59
Bahamas,1999,1292,25.31,484.59
Bahamas,2000,1292,25.16,484.59
Bahamas,2001,1292,25.23,375.89
Bahamas,2002,1292,25.79,384.23
Bahamas,2004,1292,25.46,269.66
Bahamas,2005,1292,25.43,315.74
Bahamas,2006,1292,25.34,268.2
Bahamas,2007,1292,25.71,268.2
Bahamas,2008,1292,25.63,268.2
Bahamas,2009,1292,25.46,268.2
Bahamas,2010,1292,24.77,268.2
Bahamas,2011,1292,25.76,268.2
Bahamas,2012,1292,25.46,268.2
Bahamas,2013,1292,25.88,268.2
Bahrain,1990,83,26.26,14.05
Bahrain,1991,83,25.73,14.05
Bahrain,1992,83,25.09,14.05
Bahrain,1993,83,26.09,14.05
Bahrain,1994,83,26.66,30.86
Bahrain,1995,83,26.18,12.46
Bahrain,1996,83,26.76,12.16
Bahrain,1997,83,26.11,9.42
Bahrain,1998,83,27.54,11.15
Bahrain,1999,83,27.67,12.5
Bahrain,2000,83,26.99,8.65
Bahrain,2001,83,27.36,9.2
Bahrain,2002,83,27.19,0.91
Bahrain,2004,83,27.07,12.24
Bahrain,2005,83,26.89,12.75
Bahrain,2006,83,27.15,12.12
Bahrain,2007,83,27.13,16.25
Bahrain,2008,83,26.96,10.45
Bahrain,2009,83,27.24,12.59
Bahrain,2010,83,28.0,9.84
Bahrain,2011,83,27.01,9.14
Bahrain,2012,83,27.45,9.14
Bahrain,2013,83,27.86,9.14
Bangladesh,1990,2666,25.98,1266.0
Bangladesh,1990,2666,25.98,1266.0
Bangladesh,1991,2666,25.85,1287.0
Bangladesh,1991,2666,25.85,1287.0
Bangladesh,1992,2666,25.86,1453.0
Bangladesh,1992,2666,25.86,1453.0
Bangladesh,1993,2666,25.73,1487.0
Bangladesh,1993,2666,25.73,1487.0
Bangladesh,1994,2666,25.91,1594.5
Bangladesh,1994,2666,25.91,1594.5
Bangladesh,1995,2666,26.09,1702.0
Bangladesh,1995,2666,26.09,1702.0
Bangladesh,1996,2666,26.15,1919.0
Bangladesh,1996,2666,26.15,1919.0
Bangladesh,1997,2666,25.55,2035.0
Bangladesh,1997,2666,25.55,2035.0
Bangladesh,1998,2666,26.13,2068.0
Bangladesh,1998,2666,26.13,2068.0
Bangladesh,1999,2666,26.31,2532.0
Bangladesh,1999,2666,26.31,2532.0
Bangladesh,2000,2666,25.91,3170.0
Bangladesh,2000,2666,25.91,3170.0
Bangladesh,2001,2666,25.93,3295.78
Bangladesh,2001,2666,25.93,3295.78
Bangladesh,2002,2666,26.1,2954.29
Bangladesh,2002,2666,26.1,2954.29
Bangladesh,2004,2666,26.14,5587.81
Bangladesh,2004,2666,26.14,5587.81
Bangladesh,2005,2666,26.19,7605.01
Bangladesh,2005,2666,26.19,7605.01
Bangladesh,2006,2666,26.44,9074.43
Bangladesh,2006,2666,26.44,9074.43
Bangladesh,2007,2666,25.95,10962.31
Bangladesh,2007,2666,25.95,10962.31
Bangladesh,2008,2666,26.0,12936.5
Bangladesh,2008,2666,26.0,12936.5
Bangladesh,2009,2666,26.54,13790.09
Bangladesh,2009,2666,26.54,13790.09
Bangladesh,2010,2666,26.65,13283.72
Bangladesh,2010,2666,26.65,13283.72
Bangladesh,2011,2666,25.8,14798.28
Bangladesh,2011,2666,25.8,14798.28
Bangladesh,2012,2666,26.28,13289.18
Bangladesh,2012,2666,26.28,13289.18
Bangladesh,2013,2666,26.59,15330.16
Bangladesh,2013,2666,26.59,15330.16
Belarus,1992,618,6.74,8306.31
Belarus,1993,618,5.61,8306.31
Belarus,1994,618,6.26,8306.31
Belarus,1995,618,6.68,8306.31
Belarus,1996,618,5.32,8306.31
Belarus,1997,618,5.98,8306.31
Belarus,1998,618,6.11,8306.31
Belarus,1999,618,7.38,8306.31
Belarus,2000,618,7.52,8306.31
Belarus,2001,618,6.71,8306.31
Belarus,2002,618,7.34,8306.31
Belarus,2004,618,6.49,8306.31
Belarus,2005,618,6.53,8306.31
Belarus,2006,618,6.6,8306.31
Belarus,2007,618,7.51,8306.31
Belarus,2008,618,7.75,8306.31
Belarus,2009,618,6.75,8306.31
Belarus,2010,618,6.71,8306.31
Belarus,2011,618,7.29,8306.31
Belarus,2012,618,6.33,9578.67
Belarus,2013,618,7.83,9163.51
Belgium,2000,847,11.37,9560.49
Belgium,2001,847,10.94,8529.07
Belgium,2002,847,11.44,9204.0
Belgium,2004,847,10.94,9186.0
Belgium,2005,847,11.16,9776.0
Belgium,2006,847,11.48,8244.02
Belgium,2007,847,11.52,6712.05
Belgium,2008,847,10.9,6516.47
Belgium,2009,847,11.0,5496.04
Belgium,2010,847,9.74,4644.53
Belgium,2011,847,11.69,5740.44
Belgium,2012,847,10.68,6139.3
Belgium,2013,847,10.36,5905.6
Botswana,1990,416,19.54,17.0
Botswana,1991,416,19.29,19.0
Botswana,1992,416,20.59,17.0
Botswana,1993,416,19.97,17.0
Botswana,1994,416,19.26,17.0
Botswana,1995,416,19.96,17.0
Botswana,1996,416,19.1,17.0
Botswana,1997,416,19.26,17.0
Botswana,1998,416,20.05,17.0
Botswana,1999,416,20.24,17.0
Botswana,2000,416,18.97,17.0
Botswana,2001,416,19.36,17.0
Botswana,2002,416,19.89,17.0
Botswana,2004,416,19.41,17.0
Botswana,2005,416,20.42,17.0
Botswana,2006,416,18.97,17.0
Botswana,2007,416,19.71,17.0
Botswana,2008,416,19.63,17.0
Botswana,2009,416,19.25,17.0
Botswana,2010,416,19.98,17.0
Botswana,2011,416,19.19,17.0
Botswana,2012,416,19.83,17.0
Botswana,2013,416,18.69,17.0
Brazil,1990,1761,21.88,49695.0
Brazil,1990,1761,20.29,49695.0
Brazil,1990,1761,17.77,49695.0
Brazil,1990,1761,17.77,49695.0
Brazil,1990,1761,27.65,49695.0
Brazil,1990,1761,20.29,49695.0
Brazil,1990,1761,27.07,49695.0
Brazil,1990,1761,18.47,49695.0
Brazil,1990,1761,25.76,49695.0
Brazil,1990,1761,24.64,49695.0
Brazil,1990,1761,25.29,49695.0
Brazil,1991,1761,21.43,58349.44
Brazil,1991,1761,20.13,58349.44
Brazil,1991,1761,17.95,58349.44
Brazil,1991,1761,17.95,58349.44
Brazil,1991,1761,27.34,58349.44
Brazil,1991,1761,20.13,58349.44
Brazil,1991,1761,27.21,58349.44
Brazil,1991,1761,19.11,58349.44
Brazil,1991,1761,25.57,58349.44
Brazil,1991,1761,24.25,58349.44
Brazil,1991,1761,25.06,58349.44
Brazil,1992,1761,21.35,67003.89
Brazil,1992,1761,20.21,67003.89
Brazil,1992,1761,17.8,67003.89
Brazil,1992,1761,17.8,67003.89
Brazil,1992,1761,27.58,67003.89
Brazil,1992,1761,20.21,67003.89
Brazil,1992,1761,27.42,67003.89
Brazil,1992,1761,18.72,67003.89
Brazil,1992,1761,25.61,67003.89
Brazil,1992,1761,24.24,67003.89
Brazil,1992,1761,24.97,67003.89
Brazil,1993,1761,21.94,75658.33
Brazil,1993,1761,20.49,75658.33
Brazil,1993,1761,17.93,75658.33
Brazil,1993,1761,17.93,75658.33
Brazil,1993,1761,28.18,75658.33
Brazil,1993,1761,20.49,75658.33
Brazil,1993,1761,26.89,75658.33
Brazil,1993,1761,18.69,75658.33
Brazil,1993,1761,26.06,75658.33
Brazil,1993,1761,24.65,75658.33
Brazil,1993,1761,25.41,75658.33
Brazil,1994,1761,21.91,84312.78
Brazil,1994,1761,20.77,84312.78
Brazil,1994,1761,18.42,84312.78
Brazil,1994,1761,18.42,84312.78
Brazil,1994,1761,27.53,84312.78
Brazil,1994,1761,20.77,84312.78
Brazil,1994,1761,26.9,84312.78
Brazil,1994,1761,19.15,84312.78
Brazil,1994,1761,26.05,84312.78
Brazil,1994,1761,24.71,84312.78
Brazil,1994,1761,25.42,84312.78
Brazil,1995,1761,22.07,92967.22
Brazil,1995,1761,20.61,92967.22
Brazil,1995,1761,18.27,92967.22
Brazil,1995,1761,18.27,92967.22
Brazil,1995,1761,27.52,92967.22
Brazil,1995,1761,20.61,92967.22
Brazil,1995,1761,27.34,92967.22
Brazil,1995,1761,18.89,92967.22
Brazil,1995,1761,26.05,92967.22
Brazil,1995,1761,24.77,92967.22
Brazil,1995,1761,25.65,92967.22
Brazil,1996,1761,21.56,101621.67
Brazil,1996,1761,20.18,101621.67
Brazil,1996,1761,17.83,101621.67
Brazil,1996,1761,17.83,101621.67
Brazil,1996,1761,27.6,101621.67
Brazil,1996,1761,20.18,101621.67
Brazil,1996,1761,27.07,101621.67
Brazil,1996,1761,18.63,101621.67
Brazil,1996,1761,25.94,101621.67
Brazil,1996,1761,24.28,101621.67
Brazil,1996,1761,25.45,101621.67
Brazil,1997,1761,21.91,110276.11
Brazil,1997,1761,20.77,110276.11
Brazil,1997,1761,18.36,110276.11
Brazil,1997,1761,18.36,110276.11
Brazil,1997,1761,27.85,110276.11
Brazil,1997,1761,20.77,110276.11
Brazil,1997,1761,27.57,110276.11
Brazil,1997,1761,19.12,110276.11
Brazil,1997,1761,25.96,110276.11
Brazil,1997,1761,24.71,110276.11
Brazil,1997,1761,25.2,110276.11
Brazil,1998,1761,22.35,118930.56
Brazil,1998,1761,20.71,118930.56
Brazil,1998,1761,18.2,118930.56
Brazil,1998,1761,18.2,118930.56
Brazil,1998,1761,28.76,118930.56
Brazil,1998,1761,20.71,118930.56
Brazil,1998,1761,27.54,118930.56
Brazil,1998,1761,18.49,118930.56
Brazil,1998,1761,26.63,118930.56
Brazil,1998,1761,24.78,118930.56
Brazil,1998,1761,26.08,118930.56
Brazil,1999,1761,21.59,127585.0
Brazil,1999,1761,20.04,127585.0
Brazil,1999,1761,17.66,127585.0
Brazil,1999,1761,17.66,127585.0
Brazil,1999,1761,27.64,127585.0
Brazil,1999,1761,20.04,127585.0
Brazil,1999,1761,26.66,127585.0
Brazil,1999,1761,18.39,127585.0
Brazil,1999,1761,25.88,127585.0
Brazil,1999,1761,24.01,127585.0
Brazil,1999,1761,25.32,127585.0
Brazil,2000,1761,21.69,140423.0
Brazil,2000,1761,20.32,140423.0
Brazil,2000,1761,18.01,140423.0
Brazil,2000,1761,18.01,140423.0
Brazil,2000,1761,27.5,140423.0
Brazil,2000,1761,20.32,140423.0
Brazil,2000,1761,26.82,140423.0
Brazil,2000,1761,18.65,140423.0
Brazil,2000,1761,25.71,140423.0
Brazil,2000,1761,24.36,140423.0
Brazil,2000,1761,25.35,140423.0
Brazil,2001,1761,22.14,151523.0
Brazil,2001,1761,20.96,151523.0
Brazil,2001,1761,18.67,151523.0
Brazil,2001,1761,18.67,151523.0
Brazil,2001,1761,27.69,151523.0
Brazil,2001,1761,20.96,151523.0
Brazil,2001,1761,27.08,151523.0
Brazil,2001,1761,19.73,151523.0
Brazil,2001,1761,26.08,151523.0
Brazil,2001,1761,24.99,151523.0
Brazil,2001,1761,25.59,151523.0
Brazil,2002,1761,22.5,145552.0
Brazil,2002,1761,21.3,145552.0
Brazil,2002,1761,19.09,145552.0
Brazil,2002,1761,19.09,145552.0
Brazil,2002,1761,27.85,145552.0
Brazil,2002,1761,21.3,145552.0
Brazil,2002,1761,27.27,145552.0
Brazil,2002,1761,19.49,145552.0
Brazil,2002,1761,26.01,145552.0
Brazil,2002,1761,25.18,145552.0
Brazil,2002,1761,25.56,145552.0
Brazil,2004,1761,21.59,214725.0
Brazil,2004,1761,20.05,214725.0
Brazil,2004,1761,17.88,214725.0
Brazil,2004,1761,17.88,214725.0
Brazil,2004,1761,27.72,214725.0
Brazil,2004,1761,20.05,214725.0
Brazil,2004,1761,27.24,214725.0
Brazil,2004,1761,18.75,214725.0
Brazil,2004,1761,25.94,214725.0
Brazil,2004,1761,24.24,214725.0
Brazil,2004,1761,25.37,214725.0
Brazil,2005,1761,22.05,232232.0
Brazil,2005,1761,20.78,232232.0
Brazil,2005,1761,18.53,232232.0
Brazil,2005,1761,18.53,232232.0
Brazil,2005,1761,28.17,232232.0
Brazil,2005,1761,20.78,232232.0
Brazil,2005,1761,27.6,232232.0
Brazil,2005,1761,19.42,232232.0
Brazil,2005,1761,26.27,232232.0
Brazil,2005,1761,24.79,232232.0
Brazil,2005,1761,25.7,232232.0
Brazil,2006,1761,21.82,238716.0
Brazil,2006,1761,20.6,238716.0
Brazil,2006,1761,18.47,238716.0
Brazil,2006,1761,18.47,238716.0
Brazil,2006,1761,27.76,238716.0
Brazil,2006,1761,20.6,238716.0
Brazil,2006,1761,27.34,238716.0
Brazil,2006,1761,19.35,238716.0
Brazil,2006,1761,26.26,238716.0
Brazil,2006,1761,24.57,238716.0
Brazil,2006,1761,25.41,238716.0
Brazil,2007,1761,22.19,304031.0
Brazil,2007,1761,20.93,304031.0
Brazil,2007,1761,18.66,304031.0
Brazil,2007,1761,18.66,304031.0
Brazil,2007,1761,27.92,304031.0
Brazil,2007,1761,20.93,304031.0
Brazil,2007,1761,27.32,304031.0
Brazil,2007,1761,19.05,304031.0
Brazil,2007,1761,25.95,304031.0
Brazil,2007,1761,24.78,304031.0
Brazil,2007,1761,25.44,304031.0
Brazil,2008,1761,21.86,312637.0
Brazil,2008,1761,20.22,312637.0
Brazil,2008,1761,17.88,312637.0
Brazil,2008,1761,17.88,312637.0
Brazil,2008,1761,27.54,312637.0
Brazil,2008,1761,20.22,312637.0
Brazil,2008,1761,26.94,312637.0
Brazil,2008,1761,18.8,312637.0
Brazil,2008,1761,25.96,312637.0
Brazil,2008,1761,24.26,312637.0
Brazil,2008,1761,25.54,312637.0
Brazil,2009,1761,22.25,335742.0
Brazil,2009,1761,20.78,335742.0
Brazil,2009,1761,18.38,335742.0
Brazil,2009,1761,18.38,335742.0
Brazil,2009,1761,27.39,335742.0
Brazil,2009,1761,20.78,335742.0
Brazil,2009,1761,27.39,335742.0
Brazil,2009,1761,18.84,335742.0
Brazil,2009,1761,26.3,335742.0
Brazil,2009,1761,24.98,335742.0
Brazil,2009,1761,26.0,335742.0
Brazil,2010,1761,22.12,342580.0
Brazil,2010,1761,20.72,342580.0
Brazil,2010,1761,18.18,342580.0
Brazil,2010,1761,18.18,342580.0
Brazil,2010,1761,28.18,342580.0
Brazil,2010,1761,20.72,342580.0
Brazil,2010,1761,27.56,342580.0
Brazil,2010,1761,19.01,342580.0
Brazil,2010,1761,26.3,342580.0
Brazil,2010,1761,24.95,342580.0
Brazil,2010,1761,25.78,342580.0
Brazil,2011,1761,21.74,345026.0
Brazil,2011,1761,20.33,345026.0
Brazil,2011,1761,18.01,345026.0
Brazil,2011,1761,18.01,345026.0
Brazil,2011,1761,27.36,345026.0
Brazil,2011,1761,20.33,345026.0
Brazil,2011,1761,27.29,345026.0
Brazil,2011,1761,18.82,345026.0
Brazil,2011,1761,25.89,345026.0
Brazil,2011,1761,24.32,345026.0
Brazil,2011,1761,25.28,345026.0
Brazil,2012,1761,22.16,346583.0
Brazil,2012,1761,21.02,346583.0
Brazil,2012,1761,18.8,346583.0
Brazil,2012,1761,18.8,346583.0
Brazil,2012,1761,28.21,346583.0
Brazil,2012,1761,21.02,346583.0
Brazil,2012,1761,27.34,346583.0
Brazil,2012,1761,19.72,346583.0
Brazil,2012,1761,26.13,346583.0
Brazil,2012,1761,24.84,346583.0
Brazil,2012,1761,25.65,346583.0
Brazil,2013,1761,21.59,367778.0
Brazil,2013,1761,20.07,367778.0
Brazil,2013,1761,17.57,367778.0
Brazil,2013,1761,17.57,367778.0
Brazil,2013,1761,27.71,367778.0
Brazil,2013,1761,20.07,367778.0
Brazil,2013,1761,27.11,367778.0
Brazil,2013,1761,17.84,367778.0
Brazil,2013,1761,26.4,367778.0
Brazil,2013,1761,25.19,367778.0
Brazil,2013,1761,26.14,367778.0
Bulgaria,1990,608,9.51,3906.0
